Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
The Book of Boba Fett,"Action, Adventure, Sci-Fi",38 min,7.2,"174,209",(2021–2022),Certificate N/A,Bounty hunter Boba Fett and mercenary Fennec Shand navigate the underworld when they return to Tatooine to claim Jabba the Hutt's old turf.,"Temuera Morrison, Ming-Na Wen, Frank Trigg, Collin Hymes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Killing Eve,"Action, Adventure, Drama",42 min,8.1,"127,198",(2018–2022),Certificate N/A,"After a series of events, the lives of a security operative and an assassin become inextricably linked.","Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Lower Decks,"Animation, Action, Adventure",25 min,7.6,"21,819",(2020– ),Certificate N/A,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.","Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Naruto,"Animation, Action, Adventure",24 min,8.4,"117,344",(2002–2007),Certificate N/A,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Baywatch,"Action, Adventure, Crime",60 min,5.4,"29,362",(1989–2001),Certificate N/A,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis.","David Hasselhoff, Pamela Anderson, Yasmine Bleeth, Jeremy Jackson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman: The Animated Series,"Animation, Action, Adventure",23 min,9.0,"111,133",(1992–1995),Certificate N/A,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
FUBAR,"Action, Adventure, Comedy",55 min,6.5,"32,417",(2023– ),Certificate N/A,A C.I.A. operative on the edge of retirement discovers a family secret and is called back into the field for one last job.,"Arnold Schwarzenegger, Monica Barbaro, Milan Carter, Gabriel Luna",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mushoku-tensei ~Isekai ittara honki dasu~,"Animation, Action, Adventure",24 min,8.4,"16,137",(2021– ),Certificate N/A,"A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure.","Yumi Uchiyama, Tomokazu Sugita, Amber Lee Connors, Ai Kakuma",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Vinland Saga,"Animation, Action, Adventure",24 min,8.8,"58,628",(2019– ),Certificate N/A,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father an homage.,"Yûto Uemura, Mike Haimoto, Alejandro Saab, Aleks Le",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Magnum P.I.,"Action, Adventure, Crime",43 min,6.2,"15,908",(2018–2023),Certificate N/A,An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.,"Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
